pelicula,anio,actor,personaje
Alemania,2023,Maite Aguilar,Lola
Alemania,2023,Miranda de la Serna,Julieta
Alemania,2023,María Ucedo,Sandra
Alemania,2023,Walter Jakob,Esteban
Alemania,2023,Oliverio Beccaria,Fran
Alemania,2023,Vicky Peña,Siru
Alemania,2023,Gala Gutman,Tati
Alemania,2023,Andy Pruss,Alejo
Alemania,2023,Melisa Hermida,Magdalena
Alemania,2023,Cattiana Aro,Azul
Alemania,2023,Daniel Freire,School Director
Alemania,2023,Martín Miller,Lucho
Alemania,2023,Romina Pinto,Teacher
Alemania,2023,Oscar Fabi,Oscar
Alemania,2023,Juan Pablo Miller,Uncle Christmas
Alemania,2023,Maitina de Marco,Aunt Christmas
Alemania,2023,Federico Venzi,Lucas
Alemania,2023,Hernán Pérez,Tattoo Artist
Alias Gardelito,1961,Alberto Argibay,"Toribio Torres, alias ""Gardelito"""
Alias Gardelito,1961,Walter Vidarte,Picayo
Alias Gardelito,1961,Tônia Carrero,Pilar
Alias Gardelito,1961,Lautaro Murúa,Ingeniero
Alias Gardelito,1961,Orlando Sacha,Leoncio
Alias Gardelito,1961,Nora Palmer,Margot
Alias Gardelito,1961,Raúl Parini,Feasini
Alias Gardelito,1961,Virginia Lago,Vecina de Toribio
Alias Gardelito,1961,Raúl del Valle,Julián
Alias Gardelito,1961,Nelly Tesolín,
Alias Gardelito,1961,Héctor Pellegrini,
Alias Gardelito,1961,Óscar 'Cacho' Espíndola,
Alias Gardelito,1961,Alberto Barcel,
Alias Gardelito,1961,Carmen Giménez,
Amalia,1914,Susana Larreta y Quintana,Amalia
Amalia,1914,Luis García Lawson,Eduardo Belgrano
Amalia,1914,Jorge Quintana,Daniel Bello
Amalia,1914,Lucía de Bruyn,Florencía
Amalia,1914,Jose Miguens,Don Juan Manuel de Rosas
Amalia,1914,Raquel Aldao,Manuelita Rosas
Amalia,1914,Josefina Acosta,Doña Maria Josefa
Amalia,1914,Carlos Morra,Doctor Alcorta
Amalia,1914,Ricardo Aldao,Pedro
Amalia,1914,Camilo Aldao,Corvalán
Amalia,1914,Lola Marcó del Pont,Señora Dupasquier
Amalia,1914,Delfina Astengo,Jesusa
Amalia,1914,Juan Carlos Huergo,Mariño
Amalia,1914,Inés González Guerrico,Josefa
Amalia,1914,Enrique Bustillo,General Mansilla
Amante para dos,1981,Alberto Olmedo,Alberto
Amante para dos,1981,Tato Bores,Mauricio
Amante para dos,1981,Moria Casán,Mónica
Amante para dos,1981,Estela Molly,
Amante para dos,1981,Carlos del Burgo,
Amante para dos,1981,Cristina Allende,
Amante para dos,1981,Luisa Albinoni,
Amante para dos,1981,Jorgelina Aranda,
Amante para dos,1981,Arturo Satany,
Amante para dos,1981,Délfor Medina,
Amante para dos,1981,León Sarthié,
Amante para dos,1981,Gloria Ugarte,
